city,city_ascii,lat,lng,country
Basāha,Basaha,26.1329,86.7480,India
Channubanda,Channubanda,17.0331,80.8056,India
Plymouth,Plymouth,43.7447,-87.9660,United States
Topchikha,Topchikha,52.8167,83.1167,Russia
Helsinge,Helsinge,56.0222,12.1972,Denmark
Ayas,Ayas,24.2508,87.7784,India
Enkakād,Enkakad,10.6500,76.2500,India
Bhadwār,Bhadwar,25.5576,84.7559,India
Nueva Guadalupe,Nueva Guadalupe,13.5333,-88.3500,El Salvador
Kulu,Kulu,39.0892,33.0806,Turkey
Devnya,Devnya,43.2167,27.5667,Bulgaria
Belvedere Marittimo,Belvedere Marittimo,39.6167,15.8667,Italy
Makhambet,Makhambet,47.6667,51.5833,Kazakhstan
St. Pete Beach,St. Pete Beach,27.7235,-82.7387,United States
Kratovo,Kratovo,55.6000,38.1500,Russia
Lakhanāpuram,Lakhanapuram,18.7504,83.5534,India
Rock Falls,Rock Falls,41.7724,-89.6928,United States
Palmeira d’Oeste,Palmeira d'Oeste,-20.4158,-50.7619,Brazil
Árgos Orestikó,Argos Orestiko,40.4500,21.2500,Greece
Potangal,Potangal,18.5661,77.7742,India
Tullukuttināyakkanūr,Tullukuttinayakkanur,9.8149,77.6808,India
Florstadt,Florstadt,50.3158,8.8631,Germany
Le Teil,Le Teil,44.5458,4.6831,France
Caister-on-Sea,Caister-on-Sea,52.6510,1.7330,United Kingdom
Wanaka,Wanaka,-44.7000,169.1500,New Zealand
Amuria,Amuria,2.0300,33.6431,Uganda
Yangiobod,Yangiobod,41.1192,70.0942,Uzbekistan
Vadasīkarambattu,Vadasikarambattu,11.6446,79.6882,India
Karor,Karor,25.6018,86.0930,India
Sandpoint,Sandpoint,48.2822,-116.5614,United States
Nangis,Nangis,48.5556,3.0153,France
Orting,Orting,47.0967,-122.2112,United States
Pudozh,Pudozh,61.8000,36.5167,Russia
Le Portel,Le Portel,50.7075,1.5744,France
Caldwell,Caldwell,40.8389,-74.2776,United States
San José de Gracia,San Jose de Gracia,22.1500,-102.4167,Mexico
Ibirapuã,Ibirapua,-17.6500,-40.1167,Brazil
Punjai Lakkāpuram,Punjai Lakkapuram,11.3050,77.7554,India
Kishtwār,Kishtwar,33.3135,75.7673,India
Maddūr,Maddur,16.8602,77.6121,India
Matias Cardoso,Matias Cardoso,-14.8203,-43.8772,Brazil
Bösel,Bosel,53.0058,7.9542,Germany
Wābāgai,Wabagai,24.5309,93.9376,India
Prienai,Prienai,54.6333,23.9417,Lithuania
Crozet,Crozet,38.0645,-78.6961,United States
